subdetector,region,local_layer,position_mm,n_rad_lengths,n_int_lengths,cumulative_X0,cumulative_lambdaI,pseudolayer
ECAL_BARREL,barrel,0,1859.7000,0.5671,0.0215,0.5671,0.0215,-1
ECAL_BARREL,barrel,1,1865.0500,0.6205,0.0284,1.1876,0.0499,-1
ECAL_BARREL,barrel,2,1870.4000,0.6205,0.0284,1.8080,0.0783,-1
ECAL_BARREL,barrel,3,1875.7500,0.6205,0.0284,2.4285,0.1068,-1
ECAL_BARREL,barrel,4,1881.1000,0.6205,0.0284,3.0490,0.1352,-1
ECAL_BARREL,barrel,5,1886.4500,0.6205,0.0284,3.6694,0.1636,-1
ECAL_BARREL,barrel,6,1891.8000,0.6205,0.0284,4.2899,0.1921,-1
ECAL_BARREL,barrel,7,1897.1500,0.6205,0.0284,4.9103,0.2205,-1
ECAL_BARREL,barrel,8,1902.5000,0.6205,0.0284,5.5308,0.2489,-1
ECAL_BARREL,barrel,9,1907.8500,0.6205,0.0284,6.1512,0.2774,-1
ECAL_BARREL,barrel,10,1913.2000,0.6205,0.0284,6.7717,0.3058,-1
ECAL_BARREL,barrel,11,1918.5500,0.6205,0.0284,7.3921,0.3342,-1
ECAL_BARREL,barrel,12,1923.9000,0.6205,0.0284,8.0126,0.3627,-1
ECAL_BARREL,barrel,13,1929.2500,0.6205,0.0284,8.6331,0.3911,-1
ECAL_BARREL,barrel,14,1934.6000,0.6205,0.0284,9.2535,0.4196,-1
ECAL_BARREL,barrel,15,1939.9500,0.6205,0.0284,9.8740,0.4480,-1
ECAL_BARREL,barrel,16,1945.3000,0.6205,0.0284,10.4944,0.4764,-1
ECAL_BARREL,barrel,17,1950.6500,0.6205,0.0284,11.1149,0.5049,-1
ECAL_BARREL,barrel,18,1956.0000,0.6205,0.0284,11.7353,0.5333,-1
ECAL_BARREL,barrel,19,1961.3500,0.6205,0.0284,12.3558,0.5617,-1
ECAL_BARREL,barrel,20,1966.7000,0.6205,0.0284,12.9762,0.5902,-1
ECAL_BARREL,barrel,21,1972.0500,0.6205,0.0284,13.5967,0.6186,-1
ECAL_BARREL,barrel,22,1977.4000,0.6205,0.0284,14.2171,0.6470,-1
ECAL_BARREL,barrel,23,1982.7500,0.6205,0.0284,14.8376,0.6755,-1
ECAL_BARREL,barrel,24,1988.1000,0.6205,0.0284,15.4581,0.7039,-1
ECAL_BARREL,barrel,25,1993.4500,0.6205,0.0284,16.0785,0.7323,-1
ECAL_BARREL,barrel,26,1998.8000,0.6205,0.0284,16.6990,0.7608,-1
ECAL_BARREL,barrel,27,2004.1500,0.6205,0.0284,17.3194,0.7892,-1
ECAL_BARREL,barrel,28,2009.5000,0.6205,0.0284,17.9399,0.8176,-1
ECAL_BARREL,barrel,29,2014.8500,0.6205,0.0284,18.5603,0.8461,-1
ECAL_BARREL,barrel,30,2020.2000,0.6205,0.0284,19.1808,0.8745,-1
ECAL_BARREL,barrel,31,2025.5500,0.6205,0.0284,19.8012,0.9029,-1
ECAL_BARREL,barrel,32,2030.9000,0.6205,0.0284,20.4217,0.9314,-1
ECAL_BARREL,barrel,33,2036.2500,0.6205,0.0284,21.0421,0.9598,-1
ECAL_BARREL,barrel,34,2041.6000,0.6205,0.0284,21.6626,0.9882,-1
ECAL_BARREL,barrel,35,2046.9500,0.6205,0.0284,22.2831,1.0167,-1
ECAL_BARREL,barrel,36,2052.3000,0.6205,0.0284,22.9035,1.0451,-1
ECAL_BARREL,barrel,37,2057.6499,0.6205,0.0284,23.5240,1.0735,-1
ECAL_BARREL,barrel,38,2063.0000,0.6205,0.0284,24.1444,1.1020,-1
ECAL_BARREL,barrel,39,2068.3501,0.6205,0.0284,24.7649,1.1304,-1
ECAL_BARREL,barrel,40,2073.7000,0.6205,0.0284,25.3853,1.1588,-1
ECAL_BARREL,barrel,41,2079.0500,0.6205,0.0284,26.0058,1.1873,-1
ECAL_BARREL,barrel,42,2084.3999,0.6205,0.0284,26.6262,1.2157,-1
ECAL_BARREL,barrel,43,2089.7500,0.6205,0.0284,27.2467,1.2441,-1
ECAL_BARREL,barrel,44,2095.1001,0.6205,0.0284,27.8671,1.2726,-1
ECAL_BARREL,barrel,45,2100.4500,0.6205,0.0284,28.4876,1.3010,-1
ECAL_BARREL,barrel,46,2105.8000,0.6205,0.0284,29.1081,1.3294,-1
ECAL_BARREL,barrel,47,2111.1499,0.6205,0.0284,29.7285,1.3579,-1
ECAL_BARREL,barrel,48,2116.5000,0.6205,0.0284,30.3490,1.3863,-1
ECAL_BARREL,barrel,49,2121.8501,0.6205,0.0284,30.9694,1.4148,-1
HCAL_BARREL,barrel,0,2147.0000,1.1083,0.1156,1.1083,0.1156,-1
HCAL_BARREL,barrel,1,2173.5000,1.1512,0.1227,2.2595,0.2383,-1
HCAL_BARREL,barrel,2,2200.0000,1.1512,0.1227,3.4107,0.3611,-1
HCAL_BARREL,barrel,3,2226.5000,1.1512,0.1227,4.5619,0.4838,-1
HCAL_BARREL,barrel,4,2253.0000,1.1512,0.1227,5.7131,0.6066,-1
HCAL_BARREL,barrel,5,2279.5000,1.1512,0.1227,6.8643,0.7293,-1
HCAL_BARREL,barrel,6,2306.0000,1.1512,0.1227,8.0156,0.8521,-1
HCAL_BARREL,barrel,7,2332.5000,1.1512,0.1227,9.1668,0.9748,-1
HCAL_BARREL,barrel,8,2359.0000,1.1512,0.1227,10.3180,1.0976,-1
HCAL_BARREL,barrel,9,2385.5000,1.1512,0.1227,11.4692,1.2203,-1
HCAL_BARREL,barrel,10,2412.0000,1.1512,0.1227,12.6204,1.3430,-1
HCAL_BARREL,barrel,11,2438.5000,1.1512,0.1227,13.7716,1.4658,-1
HCAL_BARREL,barrel,12,2465.0000,1.1512,0.1227,14.9228,1.5885,-1
HCAL_BARREL,barrel,13,2491.5000,1.1512,0.1227,16.0740,1.7113,-1
HCAL_BARREL,barrel,14,2518.0000,1.1512,0.1227,17.2252,1.8340,-1
